timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZtargetId;targetName;targetX;targetZ;targetAngle;distanceToRoom;distanceToAgent;LookedAt;targetAttentionCount
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;0;Greystone;-4.941432;29.60713;1.736172;30.01666;28.06738;0;0
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;28.84966;0;0
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;2;Violet;-17.28386;12.33969;2.52157;21.23676;20.81;0;3
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;23.4648;0;2
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;4;Lake;-29.60713;-4.941433;3.306968;30.01666;31.27834;0;0
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.98218;0;0
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;21.85363;0;3
2.538466;0;0;0.1653758;0;0.8778276;2.13262;0.6894488;0.7243342;7;Brick;12.33969;17.28386;0.9507739;21.23676;18.97473;1;4
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;0;Greystone;-4.941432;29.60713;1.736172;30.01666;28.92944;0;0
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;31.66534;0;0
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;2;Violet;-17.28386;12.33969;2.52157;21.23676;19.26307;1;3
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;20.93109;0;2
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;4;Lake;-29.60713;-4.941433;3.306968;30.01666;28.37639;0;0
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;31.16089;0;0
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;23.16997;0;3
2.538466;0;0;0.1653758;1;-1.807118;0.8312564;-0.702457;0.711726;7;Brick;12.33969;17.28386;0.9507739;21.23676;21.67494;0;4
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;0;Greystone;-4.941432;29.60713;1.736172;30.01666;26.29413;0;0
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;27.79572;0;0
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;2;Violet;-17.28386;12.33969;2.52157;21.23676;20.73861;0;3
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;25.67896;0;2
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;4;Lake;-29.60713;-4.941433;3.306968;30.01666;32.69248;0;0
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;33.91193;0;0
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;22.61218;0;3
2.538466;0;0;0.1653758;2;1.805442;4.17618;0.7661241;0.6426924;7;Brick;12.33969;17.28386;0.9507739;21.23676;16.7926;1;4
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;0;Greystone;-4.941432;29.60713;1.736172;30.01666;32.03678;0;0
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;30.22686;0;0
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;2;Violet;-17.28386;12.33969;2.52157;21.23676;22.59464;0;3
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;19.70621;1;2
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;4;Lake;-29.60713;-4.941433;3.306968;30.01666;29.91121;0;0
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;5;Ivy;4.941433;-29.60713;-1.405421;30.01666;27.96407;0;0
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;6;GoldenRod;17.28386;-12.33969;-0.6200224;21.23676;19.94558;0;3
2.538466;0;0;0.1653758;3;0.1792064;-2.034644;-0.7829546;-0.6220785;7;Brick;12.33969;17.28386;0.9507739;21.23676;22.80371;0;4
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;0;Greystone;-4.941432;29.60713;1.736172;30.01666;26.22746;0;0
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;1;TerraCotta;29.60713;4.941432;0.1653758;30.01666;29.94871;0;0
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;2;Violet;-17.28386;12.33969;2.52157;21.23676;18.96855;0;3
2.538466;0;0;0.1653758;4;-0.3352127;3.770398;0.7932041;0.6089556;3;Forest;-12.33969;-17.28386;-2.190819;21.23676;24.21269;0;2
