timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
1.942911;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
1.942911;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
1.942911;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
1.942911;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
1.942911;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
1.942911;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
1.942911;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
1.942911;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
1.96851;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
1.96851;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
1.96851;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
1.96851;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
1.96851;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
1.96851;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
1.96851;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
1.96851;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
1.988952;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
1.988952;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
1.988952;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
1.988952;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
1.988952;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
1.988952;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
1.988952;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
1.988952;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.007972;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.007972;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.007972;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.007972;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.007972;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.007972;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.007972;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.007972;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.026942;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.026942;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.026942;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.026942;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.026942;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.026942;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.026942;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.026942;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.045583;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.045583;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.045583;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.045583;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.045583;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.045583;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.045583;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.045583;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.064501;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.064501;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.064501;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.064501;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.064501;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.064501;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.064501;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
2.064501;0;0;6.28144;7;Brick;15.04285;14.99042;7.066838;21.23676;3
2.084395;0;0;6.28144;0;Greystone;0.05238995;30.01662;7.852236;30.01666;0
2.084395;0;0;6.28144;1;TerraCotta;30.01662;-0.05239484;6.28144;30.01666;0
2.084395;0;0;6.28144;2;Violet;-14.99042;15.04285;8.637634;21.23676;5
2.084395;0;0;6.28144;3;Forest;-15.04285;-14.99042;3.925245;21.23676;4
2.084395;0;0;6.28144;4;Lake;-30.01662;0.05238506;9.423033;30.01666;0
2.084395;0;0;6.28144;5;Ivy;-0.05239973;-30.01662;4.710643;30.01666;0
2.084395;0;0;6.28144;6;GoldenRod;14.99043;-15.04284;5.496042;21.23676;2
