timeStamp;roomX;roomZ;roomAngle;agentId;agentX;agentZ;agentLookX;agentLookZ;targetId;targetName;distanceToTarget
2.899704;0;0;0.06736971;0;-2.263179;2.66643;-0.7474824;0.6642815;2;Violet;17.76214
2.899704;0;0;0.06736971;1;2.387718;2.874977;0.7162552;0.6978381;7;Brick;17.47742
2.899704;0;0;0.06736971;2;1.384039;-2.958212;0.7776264;-0.6287264;6;GoldenRod;18.27221
2.899704;0;0;0.06736971;3;0.1640654;4.660216;0.7896022;0.6136189;7;Brick;17.83996
2.899704;0;0;0.06736971;4;-1.481889;-1.423788;-0.731267;-0.6820911;3;Forest;19.16685
2.899704;0;0;0.06736971;5;3.139219;-1.70899;0.7157135;-0.6983937;6;GoldenRod;17.74178
2.899704;0;0;0.06736971;6;-1.882931;4.764616;-0.8108029;0.585319;2;Violet;16.82536
2.899704;0;0;0.06736971;7;1.263721;0.4718962;0.6810135;0.7322707;7;Brick;20.03668
2.899704;0;0;0.06736971;8;-0.38868;-4.084033;-0.8270902;-0.5620689;3;Forest;18.04136
2.899704;0;0;0.06736971;9;-3.698272;-1.97986;-0.6343524;-0.7730437;3;Forest;17.35252
2.899704;0;0;0.06736971;10;-2.763169;0.3143911;-0.6311387;0.7756698;2;Violet;18.99135
2.899704;0;0;0.06736971;11;-1.750091;-2.529454;-0.7417491;-0.6706772;3;Forest;18.16018
2.899704;0;0;0.06736971;12;-3.878414;-2.372476;-0.6918716;-0.7220203;3;Forest;16.92959
2.899704;0;0;0.06736971;13;-1.255647;-1.662056;-0.747336;-0.6644462;3;Forest;19.13598
2.899704;0;0;0.06736971;14;-2.729506;0.4085917;-0.6147742;0.788703;2;Violet;18.94731
2.932648;0;0;0.06736971;0;-2.263179;2.66643;-0.7333317;0.6798708;2;Violet;17.76214
2.932648;0;0;0.06736971;1;2.387718;2.874977;0.6740707;0.7386667;7;Brick;17.47742
2.932648;0;0;0.06736971;2;1.384039;-2.958212;0.753479;-0.6574718;6;GoldenRod;18.27221
2.932648;0;0;0.06736971;3;0.1640654;4.660216;0.807027;0.5905144;7;Brick;17.83996
2.932648;0;0;0.06736971;4;-1.481889;-1.423788;-0.7292194;-0.6842798;3;Forest;19.16685
2.932648;0;0;0.06736971;5;3.139219;-1.70899;0.6905127;-0.7233199;6;GoldenRod;17.74178
2.932648;0;0;0.06736971;6;-1.882931;4.764616;-0.8119029;0.5837922;2;Violet;16.82536
2.932648;0;0;0.06736971;7;1.263721;0.4718962;0.6489102;0.7608649;7;Brick;20.03668
2.932648;0;0;0.06736971;8;-0.38868;-4.084033;-0.8268305;-0.5624509;3;Forest;18.04136
2.932648;0;0;0.06736971;9;-3.698272;-1.97986;-0.6860779;-0.7275279;3;Forest;17.35252
