timeStamp;roomX;roomZ;roomAngle;targetId;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
4.999777;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
4.999777;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
4.999777;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
4.999777;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
4.999777;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
4.999777;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
4.999777;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
4.999777;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.032424;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.032424;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.032424;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.032424;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.032424;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.032424;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.032424;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.032424;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.059575;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.059575;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.059575;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.059575;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.059575;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.059575;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.059575;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.059575;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.084079;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.084079;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.084079;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.084079;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.084079;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.084079;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.084079;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.084079;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.110626;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.110626;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.110626;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.110626;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.110626;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.110626;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.110626;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.110626;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.13578;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.13578;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.13578;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.13578;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.13578;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.13578;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.13578;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.13578;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.161789;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.161789;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.161789;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.161789;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.161789;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.161789;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.161789;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.161789;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.188104;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.188104;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.188104;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.188104;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.188104;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.188104;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.188104;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.188104;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.212823;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.212823;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.212823;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.212823;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.212823;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.212823;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.212823;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.212823;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.237864;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.237864;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.237864;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.237864;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.237864;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.237864;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.237864;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.237864;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.266657;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.266657;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.266657;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.266657;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.266657;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.266657;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
5.266657;0;0;0.00465021;6;15.08633;-14.94666;-0.780748;21.23676;4
5.266657;0;0;0.00465021;7;14.94667;15.08632;0.7900484;21.23676;2
5.292947;0;0;0.00465021;0;-0.1395818;30.01634;1.575446;30.01666;0
5.292947;0;0;0.00465021;1;30.01634;0.1395833;0.00465021;30.01666;0
5.292947;0;0;0.00465021;2;-15.08632;14.94667;2.360845;21.23676;4
5.292947;0;0;0.00465021;3;-14.94667;-15.08632;-2.351544;21.23676;2
5.292947;0;0;0.00465021;4;-30.01634;-0.1395831;3.146243;30.01666;0
5.292947;0;0;0.00465021;5;0.1395827;-30.01634;-1.566146;30.01666;0
