timeStamp;roomX;roomZ;roomAngle;targetId;targetName;targetX;targetZ;targetAngle;distanceToTarget;targetAttentionCount
1.746496;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.746496;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.746496;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.746496;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.746496;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.746496;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.746496;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.746496;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.776911;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.776911;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.776911;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.776911;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.776911;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.776911;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.776911;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.776911;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.80241;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.80241;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.80241;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.80241;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.80241;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.80241;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.80241;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.80241;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.831873;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.831873;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.831873;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.831873;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.831873;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.831873;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.831873;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.831873;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.856559;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.856559;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.856559;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.856559;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.856559;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.856559;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.856559;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.856559;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.880531;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.880531;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.880531;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.880531;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.880531;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.880531;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.880531;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
1.880531;0;0;6.204917;7;Brick;16.14481;13.79656;6.990315;21.23676;1
1.904211;0;0;6.204917;0;Greystone;2.346952;29.92477;7.775713;30.01666;0
1.904211;0;0;6.204917;1;TerraCotta;29.92477;-2.346957;6.204917;30.01666;0
1.904211;0;0;6.204917;2;Violet;-13.79656;16.14482;8.561111;21.23676;4
1.904211;0;0;6.204917;3;Forest;-16.14481;-13.79656;3.848723;21.23676;4
1.904211;0;0;6.204917;4;Lake;-29.92477;2.346947;9.34651;30.01666;0
1.904211;0;0;6.204917;5;Ivy;-2.346947;-29.92477;4.634121;30.01666;0
1.904211;0;0;6.204917;6;GoldenRod;13.79656;-16.14481;5.419519;21.23676;2
